이름,KPI,거래 DB,매출,매출(숫자)
26/01,"₩30,000,000",,0,₩0
26/02,"₩30,000,000",,0,₩0
26/03,"₩30,000,000",,0,₩0
26/04,"₩30,000,000",,0,₩0
26/05,"₩30,000,000","플레이스 디벨롭 (%EB%8B%A4%EC%9D%B4%EB%B2%84%EC%A6%88%20%ED%99%88/%EC%9B%90%EC%B2%9CDB/%EB%A7%A4%EC%B6%9C%20DB/%ED%94%8C%EB%A0%88%EC%9D%B4%EC%8A%A4%20%EB%94%94%EB%B2%A8%EB%A1%AD%203598b28cd4048040ad8ae0ddd0a8047d.md), 블로그체험단 (%EB%8B%A4%EC%9D%B4%EB%B2%84%EC%A6%88%20%ED%99%88/%EC%9B%90%EC%B2%9CDB/%EB%A7%A4%EC%B6%9C%20DB/%EB%B8%94%EB%A1%9C%EA%B7%B8%EC%B2%B4%ED%97%98%EB%8B%A8%203598b28cd40480fd9821fa5affaa6c03.md)",25700,"₩25,700"
26/06,"₩60,000,000",,0,₩0
26/07,"₩30,000,000",,0,₩0
26/08,"₩30,000,000",,0,₩0
26/09,"₩30,000,000",,0,₩0
26/10,"₩30,000,000",,0,₩0
26/11,"₩30,000,000",,0,₩0
26/12,"₩30,000,000",,0,₩0
